title,description
"¿30,000 denominaciones protestantes?","Este artículo desmiente el mito de que existen 30,000 denominaciones protestantes, explicando cómo se manipula este número para cuestionar la unidad del cristianismo protestante. Analiza las fuentes de esta cifra, demostrando que incluye muchas categorías no relacionadas con denominaciones tradicionales."
¿Cómo Reducir las Presuposiciones no Cristianas al Absurdo?,"Se expone la técnica apologética presuposicionalista de reducir las presuposiciones no cristianas al absurdo, mostrando que, sin el Dios cristiano, las cosmovisiones alternativas se tornan inconsistentes y autocontradictorias, incapaces de justificar el conocimiento, la moralidad o la lógica."
¿Debe Pedir Disculpas el Apologista por lo que Cree?,"Este artículo aborda la pregunta de si un apologista cristiano debe disculparse por su fe. Argumenta que no debe hacerlo, ya que la apologética presuposicional defiende la fe cristiana como el único fundamento consistente para la verdad y rechaza ceder terreno ante cosmovisiones opuestas."
¿El Presuposicionalismo confunde la Ontología con la Epistemología?,"Se defiende el presuposicionalismo contra la crítica de que confunde ontología y epistemología. El artículo aclara que, más bien, muestra cómo los compromisos ontológicos subyacen a los epistemológicos y que la revelación bíblica es la base para entender ambos correctamente."
¿Fue Calvino un escolástico? Una respuesta a Dr. Fesko,"Responde a la tesis del Dr. Fesko sobre la continuidad de Calvino con el escolasticismo medieval. El artículo argumenta que, aunque Calvino usó métodos escolásticos, sus diferencias con Tomás de Aquino en cuanto a teología y epistemología son más significativas, no apoyando un simple retorno al escolasticismo."
¿Ha leído mal Van Til a Aquino? Una respuesta a Dr. Fesko,"Este artículo responde a la crítica del Dr. Fesko sobre la interpretación de Van Til de Tomás de Aquino. Argumenta que Van Til no malinterpretó a Aquino, sino que destacó correctamente las diferencias filosóficas fundamentales entre la teología reformada y la escolástica tomista, especialmente en cuanto a la autonomía de la razón."
¿Hace Van Til con Kant lo mismo que señala que hizo Aquino con Aristóteles? Una respuesta a Dr. Fesko,"El artículo aborda la crítica de Fesko a Van Til por su uso de Kant. Argumenta que Van Til no repite los errores de Aquino con Aristóteles, sino que emplea la crítica kantiana para subrayar la necesidad de una epistemología cristiana que no comprometa la autoridad absoluta de la revelación bíblica."
¿Negó Van Til el concepto histórico de «luz de la naturaleza»? Una respuesta a Dr. Fesko,"Este artículo defiende a Van Til contra la acusación de haber negado el concepto tradicional de «luz de la naturaleza». Aclara que Van Til reconoció el concepto, pero insistió en que, sin la revelación especial de Dios, la razón natural está oscurecida por el pecado y no puede conocer a Dios correctamente.'"
¿Qué es el método transcendental?,"Se explica el método transcendental en la apologética presuposicional. Este método busca demostrar que ciertos presupuestos cristianos son necesarios para la posibilidad de conocimiento y experiencia. Sostiene que, sin estas presuposiciones, cualquier cosmovisión alternativa es inconsistente e ininteligible."
¿Qué es la Apologética Presuposicional?,"Este artículo describe la apologética presuposicional como un enfoque que defiende la fe cristiana al argumentar que la cosmovisión cristiana es la única base coherente para la verdad. Contrasta este método con otros enfoques apologéticos, subrayando su énfasis en la presuposición de la revelación bíblica."
¿Qué es una Presuposición?,"Define «presuposición» en el contexto de la apologética presuposicional como un supuesto fundamental y no negociable que sirve de base para todas las creencias y razonamientos. Explica que, para los presuposicionalistas, las presuposiciones cristianas son necesarias para la inteligibilidad y consistencia del pensamiento y la experiencia.'"
¿Razonando en Círculos?,"El artículo discute la crítica de que la apologética presuposicional emplea razonamiento circular. Argumenta que, aunque todos razonan en círculos en un sentido, los presuposicionalistas hacen un «razonamiento en espiral» que se basa en la coherencia interna y la revelación divina, diferenciándolo de otros círculos viciosos.'"
¿Son la ciencia y la lógica neutrales y sin presuposiciones?,"Este artículo argumenta que la ciencia y la lógica no son neutrales ni libres de presuposiciones. Sostiene que todas las investigaciones científicas y lógicas están influenciadas por cosmovisiones subyacentes, y que la fe cristiana proporciona el único fundamento coherente para el conocimiento y la interpretación de la realidad."
¿Sostuvo Van Til una Creencia NO Reformada sobre la «Cosmovisión»? Una Respuesta a Dr. Fesko,"El artículo responde a la crítica de Fesko sobre la comprensión de Van Til de la cosmovisión. Afirma que Van Til, aunque innovador en su terminología, se mantuvo firmemente dentro de la tradición reformada, utilizando el concepto de cosmovisión para resaltar la necesidad de un enfoque bíblico en la epistemología y la apologética."
